bmrb_id,str_path,status,n_points,record_type,out_txt,name,inchi,inchikey,smiles
bmse000039,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000039/bmse000039.str,no_1H_data_found,0,,,L-histidine,,,
bmse000040,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000040/bmse000040.str,no_1H_data_found,0,,,L-homoserine,,,
bmse000041,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000041/bmse000041.str,no_1H_data_found,0,,,L-isoleucine,,,
bmse000042,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000042/bmse000042.str,no_1H_data_found,0,,,L-leucine,,,
bmse000043,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000043/bmse000043.str,no_1H_data_found,0,,,L-lysine,,,
bmse000044,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000044/bmse000044.str,no_1H_data_found,0,,,L-methionine,,,
bmse000045,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000045/bmse000045.str,no_1H_data_found,0,,,L-phenylalanine,,,
bmse000046,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000046/bmse000046.str,no_1H_data_found,0,,,malic_acid,,,
bmse000047,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000047/bmse000047.str,no_1H_data_found,0,,,L-proline,,,
bmse000048,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000048/bmse000048.str,no_1H_data_found,0,,,L-serine,,,
bmse000049,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000049/bmse000049.str,no_1H_data_found,0,,,L-threonine,,,
bmse000050,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000050/bmse000050.str,no_1H_data_found,0,,,L-tryptophan,,,
bmse000051,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000051/bmse000051.str,no_1H_data_found,0,,,L-tyrosine,,,
bmse000052,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000052/bmse000052.str,no_1H_data_found,0,,,L-valine,,,
bmse000053,/Users/alfred/Documents/GitHub/DDLS_project/code/get_bmrb_data/bmrb_nmrstar/bmse000053/bmse000053.str,no_1H_data_found,0,,,NAD,,,
