accession,name,kingdom,super_class,class,sub_class,group
HMDB0000269,Sphinganine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Nitrogenous & organic acids
HMDB0000271,Sarcosine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000272,Phosphoserine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000273,Thymidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,Pyrimidine 2'-deoxyribonucleosides,Heterocycles & nucleotides
HMDB0000279,Saccharopine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Nitrogenous & organic acids
HMDB0000283,D-Ribose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds
HMDB0000286,Uridine diphosphate glucose,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,Heterocycles & nucleotides
HMDB0000288,Uridine 5'-monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Heterocycles & nucleotides
HMDB0000290,Uridine diphosphate-N-acetylglucosamine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,Heterocycles & nucleotides
HMDB0000291,Vanillylmandelic acid,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Aromatics
HMDB0000292,Xanthine,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Heterocycles & nucleotides
HMDB0000294,Urea,Organic compounds,Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,Nitrogenous & organic acids
HMDB0000295,Uridine 5'-diphosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine ribonucleotides,Heterocycles & nucleotides
HMDB0000296,Uridine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,,Heterocycles & nucleotides
HMDB0000299,Xanthosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,Heterocycles & nucleotides
HMDB0000300,Uracil,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrimidines and pyrimidine derivatives,Heterocycles & nucleotides
HMDB0000301,Urocanic acid,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles,Heterocycles & nucleotides
HMDB0000302,Uridine diphosphategalactose,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleotides,Pyrimidine nucleotide sugars,Heterocycles & nucleotides
HMDB0000303,Tryptamine,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives,Heterocycles & nucleotides
HMDB0000306,Tyramine,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenethylamines,Aromatics
HMDB0000308,3b-Hydroxy-5-cholenoic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Lipids
HMDB0000310,Methylacetoacetic acid,Organic compounds,Organic acids and derivatives,Keto acids and derivatives,Beta-keto acids and derivatives,Nitrogenous & organic acids
HMDB0000315,16-a-Hydroxypregnenolone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids,Lipids
HMDB0000318,"3,4-Dihydroxyphenylglycol",Organic compounds,Benzenoids,Phenols,Benzenediols,Aromatics
HMDB0000321,2-Hydroxyadipic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Lipids
HMDB0000325,3-Hydroxysuberic acid,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives,Nitrogenous & organic acids
HMDB0000329,2-Phenylbutyric acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenylpropanes,Aromatics
