bin_index,ppm,importance
0,0.0,0.00023140813003154717
1,0.02506265664160401,0.0
2,0.05012531328320802,0.0
3,0.07518796992481203,6.711615354286306e-07
4,0.10025062656641603,0.0
5,0.12531328320802004,0.0
6,0.15037593984962405,0.0
7,0.17543859649122806,0.0
8,0.20050125313283207,3.7791677119509045e-07
9,0.22556390977443608,0.0
10,0.2506265664160401,2.909429951121015e-05
11,0.2756892230576441,4.219760663952181e-05
12,0.3007518796992481,1.6227421076593202e-05
13,0.3258145363408521,5.1142481424067846e-05
14,0.3508771929824561,3.096573556005534e-06
15,0.37593984962406013,3.736189299788944e-05
16,0.40100250626566414,2.6586756012309143e-06
17,0.42606516290726815,0.0
18,0.45112781954887216,2.1405692687269312e-05
19,0.47619047619047616,3.5243501933055974e-06
20,0.5012531328320802,4.396398988325561e-05
21,0.5263157894736842,0.00012241481669021908
22,0.5513784461152882,2.647020373413238e-07
23,0.5764411027568922,4.930611058797345e-05
24,0.6015037593984962,0.00010717573701959313
25,0.6265664160401002,1.1533133052370006e-05
26,0.6516290726817042,0.000574799998591805
27,0.6766917293233082,0.0004490746281179811
28,0.7017543859649122,5.749598884201315e-05
29,0.7268170426065163,5.058080202569431e-05
30,0.7518796992481203,0.00019192880585996777
31,0.7769423558897243,8.304043841565684e-05
32,0.8020050125313283,0.000674522657009737
33,0.8270676691729323,0.00786740227956768
34,0.8521303258145363,0.013398318867725124
35,0.8771929824561403,0.010616426954240548
36,0.9022556390977443,0.012185260204805915
37,0.9273182957393483,0.00396097357440216
38,0.9523809523809523,0.0021192168738675106
39,0.9774436090225563,0.002142172416135186
40,1.0025062656641603,0.004519269969848388
41,1.0275689223057642,0.0016141721129449395
42,1.0526315789473684,0.0013865894511660732
43,1.0776942355889725,0.0024607039305421007
44,1.1027568922305764,0.0055509793344035606
45,1.1278195488721803,0.0050931977031449015
46,1.1528822055137844,0.0020999038891817067
47,1.1779448621553885,0.001974703096517992
48,1.2030075187969924,0.003552828132421625
49,1.2280701754385963,0.006915782417005253
50,1.2531328320802004,0.01327946216703458
51,1.2781954887218046,0.01517180735081012
52,1.3032581453634084,0.014121674243011497
53,1.3283208020050123,0.012859529234507103
54,1.3533834586466165,0.006676525933170818
55,1.3784461152882206,0.006005217077592342
56,1.4035087719298245,0.005607230986139914
57,1.4285714285714284,0.005120744933918022
58,1.4536340852130325,0.0065335867583145605
59,1.4786967418546366,0.00567629955776194
60,1.5037593984962405,0.015309394676243837
61,1.5288220551378444,0.012776919553357757
62,1.5538847117794485,0.013644913470142218
63,1.5789473684210527,0.006852904543443155
64,1.6040100250626566,0.015215680510144438
65,1.6290726817042605,0.012912827331536534
66,1.6541353383458646,0.007523749216942683
67,1.6791979949874687,0.00523377665817232
68,1.7042606516290726,0.005753135969518229
69,1.7293233082706765,0.0046288469056865395
70,1.7543859649122806,0.007546852629801877
71,1.7794486215538847,0.00406409343005917
72,1.8045112781954886,0.003086706396532179
73,1.8295739348370925,0.003237907769069754
74,1.8546365914786966,0.004996173779952756
75,1.8796992481203008,0.004767575110539789
76,1.9047619047619047,0.004162447027577811
77,1.9298245614035086,0.002602160221111996
78,1.9548872180451127,0.0030340630611052823
79,1.9799498746867168,0.003438479298364449
80,2.0050125313283207,0.0032412768703733276
81,2.0300751879699246,0.0057176392935430675
82,2.0551378446115285,0.004199885131461203
83,2.080200501253133,0.004480331044138434
84,2.1052631578947367,0.003558354254574259
85,2.1303258145363406,0.004964822150050893
86,2.155388471177945,0.007461576511899842
87,2.180451127819549,0.008989266903865556
88,2.2055137844611528,0.005790278994568607
89,2.2305764411027567,0.002516778370535257
90,2.2556390977443606,0.0038430108717344797
91,2.280701754385965,0.00451653903425712
92,2.305764411027569,0.004663858126077388
93,2.3308270676691727,0.007362201848418492
94,2.355889724310777,0.006398515914081646
95,2.380952380952381,0.005675941039597886
96,2.406015037593985,0.004434148442670792
97,2.4310776942355887,0.004253615361106783
98,2.4561403508771926,0.003175479754751008
99,2.481203007518797,0.0023443027576608697
100,2.506265664160401,0.0031475564371844606
101,2.5313283208020048,0.0029525624097374425
102,2.556390977443609,0.002050852183684785
103,2.581453634085213,0.0021608392230414836
104,2.606516290726817,0.0028178884200750587
105,2.631578947368421,0.004073788090379539
106,2.6566416040100247,0.0019066245724478415
