file,hmdb_id,type
HMDB0005785_nmroned_2024_33620.txt,HMDB0005785,oned_h1
HMDB0001859_nmroned_1761_32091.txt,HMDB0001859,oned_h1
HMDB0000792_nmroned_1544_30866.txt,HMDB0000792,oned_h1
HMDB0000115_nmroned_1089_28185.txt,HMDB0000115,oned_h1
HMDB0001149_nmroned_1650_31592.txt,HMDB0001149,oned_h1
HMDB0000803_nmroned_1547_30881.txt,HMDB0000803,oned_h1
HMDB0000193_nmroned_1169_28531.txt,HMDB0000193,oned_h1
HMDB0000820_nmroned_1555_30914.txt,HMDB0000820,oned_h1
HMDB0001254_nmroned_1669_31678.txt,HMDB0001254,oned_h1
HMDB0001864_nmroned_1765_32107.txt,HMDB0001864,oned_h1
HMDB0000757_nmroned_1526_30784.txt,HMDB0000757,oned_h1
HMDB0002212_nmroned_1865_32918.txt,HMDB0002212,oned_h1
HMDB0001342_nmroned_1684_31744.txt,HMDB0001342,oned_h1
HMDB0001942_nmroned_1820_32732.txt,HMDB0001942,oned_h1
HMDB0000182_nmroned_1194_28638.txt,HMDB0000182,oned_h1
HMDB0002182_nmroned_1861_32901.txt,HMDB0002182,oned_h1
HMDB0003332_nmroned_1951_33289.txt,HMDB0003332,oned_h1
HMDB0000469_nmroned_1384_29506.txt,HMDB0000469,oned_h1
HMDB0002643_nmroned_1896_33043.txt,HMDB0002643,oned_h1
HMDB0001844_nmroned_5256_2734600.txt,HMDB0001844,oned_h1
HMDB0000149_nmroned_1110_28281.txt,HMDB0000149,oned_h1
HMDB0000068_nmroned_1066_28086.txt,HMDB0000068,oned_h1
HMDB0000121_nmroned_1092_28199.txt,HMDB0000121,oned_h1
HMDB0000532_nmroned_1408_29664.txt,HMDB0000532,oned_h1
HMDB0002096_nmroned_1851_32863.txt,HMDB0002096,oned_h1
HMDB0000336_nmroned_1334_29226.txt,HMDB0000336,oned_h1
HMDB0002141_nmroned_1858_32889.txt,HMDB0002141,oned_h1
HMDB0001316_nmroned_1681_31730.txt,HMDB0001316,oned_h1
HMDB0000752_nmroned_1521_30756.txt,HMDB0000752,oned_h1
HMDB0001336_nmroned_1682_31734.txt,HMDB0001336,oned_h1
HMDB0004815_nmroned_2007_33542.txt,HMDB0004815,oned_h1
HMDB0001413_nmroned_5290_2766149.txt,HMDB0001413,oned_h1
HMDB0000703_nmroned_1488_30473.txt,HMDB0000703,oned_h1
HMDB0000010_nmroned_1026_27907.txt,HMDB0000010,oned_h1
HMDB0000294_nmroned_1317_29150.txt,HMDB0000294,oned_h1
HMDB0000731_nmroned_1505_30622.txt,HMDB0000731,oned_h1
HMDB0000782_nmroned_1538_30837.txt,HMDB0000782,oned_h1
HMDB0000646_nmroned_5275_2757800.txt,HMDB0000646,oned_h1
HMDB0001928_nmroned_1807_32677.txt,HMDB0001928,oned_h1
HMDB0000819_nmroned_1554_30910.txt,HMDB0000819,oned_h1
HMDB0002404_nmroned_1888_33013.txt,HMDB0002404,oned_h1
HMDB0006115_nmroned_2036_33675.txt,HMDB0006115,oned_h1
HMDB0001218_nmroned_1663_31650.txt,HMDB0001218,oned_h1
HMDB0001902_nmroned_1792_32280.txt,HMDB0001902,oned_h1
HMDB0000700_nmroned_1486_30455.txt,HMDB0000700,oned_h1
HMDB0001202_nmroned_1661_31641.txt,HMDB0001202,oned_h1
HMDB0000656_nmroned_1458_30178.txt,HMDB0000656,oned_h1
HMDB0001296_nmroned_1678_31716.txt,HMDB0001296,oned_h1
