		F2ppm	F1ppm	Intensity
	1	5.7540	124.1557	24836608.38
	2	2.4766	35.7362	2120956.81
	3	2.4346	32.6600	8560921.06
	4	2.4286	33.9035	7583646.50
	5	2.3626	33.9035	6299128.06
	6	2.3356	32.6600	5529530.69
	7	2.0808	35.7362	2900716.31
	8	1.9878	21.7297	5309653.56
	9	1.9788	30.8273	5877557.88
	10	1.8709	31.3510	4409467.75
	11	1.7330	35.4089	5150668.63
	12	1.6910	20.2898	7331113.81
	13	1.5771	21.7297	4979766.06
	14	1.4661	20.3552	3819891.63
	15	1.2982	50.9208	9235070.19
	16	1.2803	31.4164	5732015.00
	17	1.2143	17.4099	11543741.19
	18	1.1273	30.7619	5024419.44
	19	0.9954	53.8660	10991094.38
	20	0.9564	13.7447	11154619.63
	21	0.8905	13.6792	8303000.69
