		F2ppm	F1ppm	Intensity
	1	5.7391	123.7889	5003784.34
	2	2.5342	63.6070	1715135.75
	3	2.4204	33.9873	1048606.38
	4	2.3963	32.5579	1260817.59
	5	2.3584	33.7490	1696871.06
	6	2.2928	32.7961	2278282.47
	7	2.1997	22.7905	1220593.94
	8	2.1377	31.3667	6394449.19
	9	2.0756	38.6724	2031969.50
	10	2.0377	35.5754	835970.53
	11	1.8791	31.6844	1859032.31
	12	1.7308	24.2993	1069042.91
	13	1.7205	35.7343	1285715.88
	14	1.6895	22.6317	552369.34
	15	1.6412	21.1229	1195905.44
	16	1.5619	35.4960	1104794.81
	17	1.4550	20.9641	1451391.53
	18	1.4481	38.5136	1435854.09
	19	1.2688	24.2993	657480.28
	20	1.1930	17.2319	2434089.69
	21	1.1688	55.9043	1401556.94
	22	1.0688	31.7638	985225.00
	23	0.9861	53.4426	1606565.66
	24	0.7068	13.2614	2341406.91
	25	0.6310	13.4202	956306.06
