		F2ppm	F1ppm	Intensity
	1	5.2191	94.5353	6497596.00
	2	4.6535	98.4467	5697016.00
	3	4.4981	105.1863	10583404.00
	4	3.9498	62.6313	2390396.00
	5	3.9349	72.7171	2361112.00
	6	3.9213	63.2850	4955556.00
	7	3.9040	63.2850	5053444.00
	8	3.8668	62.5379	4117804.00
	9	3.8136	74.0245	3409480.00
	10	3.8049	62.7870	2805432.00
	11	3.7331	63.3162	4057948.00
	12	3.6365	81.2775	3684736.00
	13	3.6217	77.0440	3211904.00
	14	3.5895	77.3864	3854252.00
	15	3.5697	73.9311	3007964.00
	16	3.5041	78.2580	7609052.00
	17	3.4768	78.6005	5790052.00
	18	3.4124	72.2190	4720724.00
	19	3.3134	75.8611	6793724.00
	20	3.2750	76.6082	5962152.00
