          F2ppm           F1ppm       Intensity 
     1      8.3226          141.2283     16291449.50
     2      8.3102          149.7302      7040026.31
     3      5.9915           90.3056     22488541.13
     4      4.6251           76.0164     19139290.75
     5      4.3199           72.0377     25111922.25
     6      4.1264           87.6380     22928427.13
     7      3.8586           63.0761      5544157.50
     8      3.7479           63.0761      5633006.75
     9      3.6276           34.5225     45543241.50
