        F2ppm           F1ppm       Intensity       
     1   5.6658          122.8710     56728393.00
     2   4.7043          109.2027    118738082.00
     3   3.9050           67.2340     77167022.50
     4   2.1446           42.4805     21787607.25
     5   2.1317           31.5618     16318291.75
     6   2.0996           26.9981     50123655.50
     7   1.9560           31.5618     19432054.25
     8   1.8446           28.8748     17278505.00
     9   1.7332           20.8990     72667545.50
    10   1.4804           28.8748     16096065.50
