	F2ppm	F1ppm	Intensity
			
1	4.0528	76.0185	490892
2	3.8868	71.1778	411936
3	3.7336	46.0359	210932
4	3.4855	74.3391	233792
5	3.1171	55.3221	574552
6	2.9022	56.9745	57720
7	2.3628	35.2831	110820
8	2.2279	35.2831	104004
9	2.2342	37.0055	53844
10	2.0898	28.9488	174456
11	2.0898	37.0611	55800
12	2.0491	41.0617	66128
13	1.9737	36.3943	90836
14	1.9267	29.8378	79068
15	1.7886	44.2289	104280
16	1.7886	37.3389	63220
17	1.7447	34.1718	73292
17	1.7147	34.8614
18	1.6882	25.5594	103736
19	1.6851	41.0061	91960
20	1.6945	49.0629	117172
21	1.6537	27.8375	303604
22	1.6317	31.8381	137392
23	1.5878	30.2268	388580
24	1.5972	41.784	152432
25	1.525	36.4499	51856
26	1.4152	43.6732	168064
27	1.3931	38.0322	103488
27	1.4361	37.7500
28	1.3901	34.1718	57680
28	1.3226	34.8614
29	1.365	21.8922	293048
30	1.3399	31.8937	79176
31	1.2771	29.8378	109988
32	1.1171	25.5038	76688
33	0.9872	37.5836	92456
34	0.9853	19.2807	174060
35	0.9382	15.3356	79940
36	0.9171	22.0055	69512
37	0.9009	24.8378	543516
38	0.7092	14.7244	145156


