		F2ppm	F1ppm	Intensity
	1	5.6920	126.1376	2921534.00
	2	3.6758	70.4443	1426775.63
	3	2.5103	41.7615	1485999.84
	4	2.3977	26.2968	1285704.47
	5	2.3943	41.7615	1492230.53
	6	2.2374	45.3722	1468070.94
	7	2.0498	38.6958	1508222.75
	8	1.9611	36.2433	1445040.50
	9	1.9475	30.9975	855984.47
	10	1.9032	28.6812	1177884.22
	11	1.6269	31.1338	762912.19
	12	1.5689	21.2554	2348733.28
	13	1.5109	27.9318	1196893.72
	14	1.5041	49.8685	784413.72
	15	1.3745	35.7664	1806198.09
	16	1.3438	23.7080	1056086.28
	17	1.3302	49.9367	1378082.22
	18	1.2790	28.5450	819363.13
	19	1.2449	26.2287	478434.31
	20	1.2006	17.2360	3567201.50
	21	1.2040	36.3114	1111363.59
	22	1.1460	24.0486	746490.56
	23	1.1221	39.2408	1589657.22
	24	1.0744	54.7055	1448407.25
	25	1.0062	36.2433	1002073.25
	26	0.9209	18.9391	3915422.84
	27	0.8629	22.6861	7161577.38
	28	0.6855	11.9221	811032.13
