		F2ppm	F1ppm	Intensity
	1	4.1075	67.3514	20330402.75
	2	1.9838	33.6556	7959786.50
	3	1.9790	40.2899	3704666.88
	4	1.8937	26.6757	5487034.88
	5	1.8155	28.3343	3823973.88
	6	1.7065	36.6272	4368133.88
	7	1.5785	27.8505	6146633.75
	8	1.5548	24.2569	6346229.00
	9	1.5169	28.0578	4655572.50
	10	1.5074	29.9928	4272181.13
	11	1.4695	27.8505	5010802.75
	12	1.4102	26.3992	3159511.25
	13	1.3841	29.9928	1418196.38
	14	1.3818	35.6597	4871122.50
	15	1.3723	21.2161	6064192.25
	16	1.3344	36.0743	7538511.00
	17	1.3296	23.8422	6123565.25
	18	1.3225	33.6556	4285465.25
	19	1.3083	39.8062	3650757.63
	20	1.2585	21.1470	3631542.13
	21	1.2348	28.3343	4401576.13
	22	1.1566	26.6066	3689531.50
	23	1.1353	23.8422	4079691.13
	24	1.1329	39.9444	5833376.13
	25	1.0974	39.5297	5522425.00
	26	1.0760	56.4612	9791053.38
	27	1.0381	56.7376	7756478.63
	28	1.0357	24.2569	4585163.63
	29	1.0334	26.3301	2296834.50
	30	0.9812	36.2126	4574223.13
	31	0.9575	23.9805	45635491.00
	32	0.8983	18.6591	14857481.13
	33	0.8627	22.7365	32704379.75
	34	0.6470	12.0248	4423248.13
