		F2ppm	F1ppm	Intensity
	1	2.4548	35.7486	716872.84
	2	2.3862	38.0784	1041235.44
	3	2.3176	38.0056	1211541.47
	4	2.2799	44.2671	553448.75
	5	2.1222	44.4855	1340428.50
	6	2.0845	35.8942	671226.00
	7	2.0365	38.3696	1732053.25
	8	1.9576	21.6967	902716.03
	9	1.8411	30.5064	1113558.44
	10	1.8274	31.3073	792039.44
	11	1.7074	20.6774	1463528.50
	12	1.6079	34.8749	1293720.41
	13	1.5497	46.6697	830299.56
	14	1.5222	21.7695	916344.81
	15	1.4091	20.7502	564652.28
	16	1.3954	28.4678	1914738.22
	17	1.3680	38.3696	1733146.94
	18	1.2925	51.2566	1733980.66
	19	1.2651	31.3073	854590.28
	20	1.0422	11.5036	784891.34
	21	1.0148	30.5064	776289.66
	22	0.8948	13.7606	514866.19
	23	0.8091	53.8777	1578715.13
