        F2ppm           F1ppm       Intensity       
     1   8.1368          150.4877      7589319.00
     2   8.0777          150.4877      7553364.38
     3   7.5221          115.6352       343434.75
     4   7.0941          115.6292       203796.50
     5   6.9762          115.6292      6525067.63
     6   4.7768           61.2330      1800649.13
     7   4.7064           61.2330      1780051.25
     8   3.8475           56.2048     42279305.63
     9   3.6918           60.5543     31807783.38
    10   2.2318           13.3827      3850953.88
    11   2.1581           11.7145     13190821.88
