         F2ppm         F1ppm       Intensity       
     1    7.1515          126.8250     32157669.00
     2    7.1104          130.1446     37036611.25
     3    7.0521          119.6756     27170829.00
     4    6.9556          123.3309     30937010.25
     5    3.8667           47.2850     32530136.50
     6    3.1394           32.2019    100308517.25
     7    3.0044           56.1134     24250595.75
     8    2.5998           42.6753    127888256.00
     9    2.1600           22.2466     21063919.50
