		F2ppm	F1ppm	Intensity
	1	2.3699	38.3028	1039027.81
	2	2.2977	38.1580	1759549.66
	3	2.2649	44.6021	2080107.50
	4	2.0844	44.8193	954979.31
	5	2.0154	38.5924	1814005.91
	6	1.9957	39.8957	892544.50
	7	1.8218	28.2383	1337189.25
	8	1.7003	31.6414	1085128.91
	9	1.5756	24.1836	1356813.41
	10	1.5263	21.3598	1274425.84
	11	1.5099	27.9487	1202007.84
	12	1.5132	46.6295	1142993.53
	13	1.3754	21.4322	871967.94
	14	1.3918	35.4065	1828857.69
	15	1.3491	38.3752	1008966.63
	16	1.3392	35.9134	2093706.78
	17	1.3196	28.9624	3254265.25
	18	1.3294	23.6044	1476676.66
	19	1.2506	28.3832	637295.38
	20	1.1390	39.8957	2410027.03
	21	1.0931	39.5337	1725860.63
	22	1.0734	56.2595	1353491.19
	23	1.0077	11.3677	567626.25
	24	1.0044	56.1871	841777.06
	25	0.9913	36.1306	1027088.41
	26	0.9027	18.6083	4802624.50
	27	0.8600	22.5907	9532947.94
	28	0.7254	53.6529	2132721.16
	29	0.6828	11.9470	515331.81
