	F2ppm	F1ppm	Intensity
1	4.024	75.6835	707563
2	3.6028	74.1317	288868
3	3.5479	37.5949	486654
4	3.064	52.4071	1635810
5	2.9034	56.8508	83043
6	2.3157	35.187	334524
7	2.144	35.2608	287519
8	1.9064	30.097	157810
9	1.8246	29.7282	143675
10	1.8087	35.9984	154278
11	1.8110	38.1018
12	1.7823	37.8426	264525
13	1.7374	48.9077	209175
14	1.7005	34.1542	211192
15	1.6582	31.7937	200470
16	1.645	26.3349	133380
17	1.5843	50.3093	200730
18	1.5370	31.0629	166281
19	1.4998	38.0639	190584
20	1.4906	31.0214
21	1.4100	28.6955	192487
22	1.4074	34.1542	181038
23	1.4021	44.7767	281825
24	1.3968	38.359	333138
25	1.3704	31.9412	111275
26	1.2885	29.7282	209514
27	1.2199	30.2446	180909
28	1.1988	28.7692	118992
29	1.0456	26.3349	111666
30	0.9849	19.2533	291271
31	0.969	37.7688	133673
32	0.9136	25.5972	1206281
33	0.6971	15.1223	430316
