		F2ppm	F1ppm	Intensity
	1	4.0413	75.9104	2221258.00
	2	3.6136	74.0589	1111455.00
	3	2.2338	36.8813	1097610.00
	4	2.0719	36.8813	941045.00
	5	1.9250	30.1588	600664.00
	6	1.8320	29.6654	393241.00
	7	1.8050	35.8945	550404.00
	8	1.7870	37.8064	881958.00
	9	1.7151	49.0311	772094.00
	10	1.6941	34.7843	676875.00
	11	1.6551	31.7623	729387.00
	12	1.6521	26.2733	513029.00
	13	1.5711	50.3263	667136.00
	14	1.5262	30.8372	919103.00
	15	1.5082	37.8681	631806.00
	16	1.4242	28.6786	696525.00
	17	1.4002	44.6522	869461.00
	18	1.3942	38.4848	980350.00
	19	1.3703	34.8460	728282.00
	20	1.3703	31.8856	446517.00
	21	1.3043	29.7887	709223.00
	22	1.2503	30.2204	606951.00
	23	1.1993	28.7403	436668.00
	24	1.0524	26.2733	368507.00
	25	0.9835	19.2424	1268391.00
	26	0.9775	37.8681	453364.00
	27	0.9205	25.5949	4481466.00
	28	0.7076	15.1719	1225373.00
