		F2ppm	F1ppm	Intensity
	1	4.1240	67.0006	22135981.88
	2	2.4398	35.9186	1739156.88
	3	2.0653	35.9186	2907253.63
	4	1.9676	33.4764	7664566.88
	5	1.9377	21.9205	4862923.13
	6	1.9377	26.3880	4584723.75
	7	1.8210	31.8681	4916440.88
	8	1.7803	36.5738	3522026.25
	9	1.5985	35.2634	4964576.75
	10	1.5578	25.1966	3671035.25
	11	1.5496	20.3122	5884065.88
	12	1.5469	27.9963	1525257.13
	13	1.5225	29.9619	2702420.38
	14	1.5062	21.8013	4159614.38
	15	1.5035	27.7580	7257927.13
	16	1.4438	29.9619	1656136.38
	17	1.3841	40.1478	5907302.88
	18	1.3596	33.5359	3943467.63
	19	1.3379	51.6442	5960031.13
	20	1.2809	20.3717	3554865.38
	21	1.2728	31.8085	3667432.25
	22	1.2294	26.4475	3691216.25
	23	1.1453	25.1966	2302267.63
	24	0.9960	23.8266	33366448.00
	25	0.8929	13.8194	7877324.50
	26	0.8304	13.7599	3825723.38
