            F2ppm           F1ppm       Intensity 
     1        3.6260           66.0693     56852478.00
     2        3.3034           69.3931     12921441.00
     3        3.1856           70.0462     25457869.00
     4        2.2238           30.5431     43700241.00
     5        2.1950           39.4966      8680065.00
     6        2.1067           30.5448     44274494.00
     7        1.9237           39.4979     26398211.00
     8        1.7913           27.5501     20228661.00
     9        1.7549           32.2031     23983888.00
    10        1.6836           30.5363     36914092.00
    11        1.6830           35.0146     20022565.00
    12        1.6736           22.9092     16070013.00
    13        1.4790           30.2055     24936874.00
    14        1.4677           39.5072     11787213.00
    15        1.4145           49.7973     15365484.00
    16        1.3903           20.0881     14066418.00
    17        1.3683           34.6430     54774714.00
    18        1.3442           38.8399     19484370.00
    19        1.2446           41.1665     20341654.00
    20        1.2329           27.5496     16567597.00
    21        1.2186           30.5350     20097858.00
    22        1.1918           20.0861      9057715.00
    23        1.1451           30.2072     14309971.00
    24        1.0942           39.5072     11924740.00
    25        1.0817           55.4582     31162840.00
    26        0.9851           22.9095     10524366.00
    27        0.8852           17.9440    120599978.00
    28        0.8735           35.0137     16483149.00
    29        0.8397           22.5769    137228242.00
    30        0.6158           11.6304     59777684.00
