		F2ppm	F1ppm	Intensity
	1	3.6223	72.0029	1733849.84
	2	1.9710	40.0270	1212800.63
	3	1.8498	27.1561	1448476.41
	4	1.8228	28.4291	962774.53
	5	1.7959	35.2181	506253.19
	6	1.7600	36.4910	815721.97
	7	1.6589	30.5506	1493529.25
	8	1.5512	24.1859	1465868.16
	9	1.5130	28.0755	1081401.97
	10	1.5040	36.4203	1262672.13
	11	1.4098	26.3782	1341627.66
	12	1.3806	20.7207	1097561.97
	13	1.3896	40.4513	1060944.81
	14	1.3851	42.0071	1718285.56
	15	1.3761	35.7838	1418687.16
	16	1.3312	35.9960	2886728.03
	17	1.3222	30.6921	1214142.84
	18	1.3222	23.6202	1086786.94
	19	1.2526	27.1561	1214210.88
	20	1.2324	20.9328	709200.63
	21	1.2190	28.3583	1004301.13
	22	1.1314	39.8855	1372064.22
	23	1.1247	23.9738	734576.91
	24	1.0865	26.3782	503826.59
	25	1.0888	39.3905	1409697.09
	26	1.0753	56.1509	1340090.56
	27	1.0326	56.5752	1413639.81
	28	1.0416	24.0445	540301.91
	29	0.9832	35.9960	802227.50
	30	0.9181	23.3373	7459882.75
	31	0.9002	18.7405	4216573.84
	32	0.8620	22.9130	7504256.72
	33	0.6622	12.0222	1352569.13
	34	0.6039	12.0930	908501.16
