		F2ppm	F1ppm	Intensity
	1	5.3522	121.7928	3604244.38
	2	3.5296	71.8024	1124616.19
	3	2.2710	42.3772	348211.41
	4	2.0190	39.7464	888639.25
	5	1.9774	31.9962	320781.66
	6	1.8528	28.3700	624010.88
	7	1.8417	31.4985	795618.66
	8	1.8528	37.1867	791587.63
	9	1.6672	29.0810	548158.47
	10	1.5786	24.2460	728771.84
	11	1.5232	31.7118	590798.13
	12	1.4651	31.7829	1159217.88
	13	1.5011	21.0464	1210755.00
	14	1.4623	21.0464	585942.09
	15	1.3626	36.1202	898136.69
	16	1.3210	33.6316	490114.56
	17	1.2684	28.2989	577670.00
	18	1.2241	22.9662	618705.22
	19	1.1604	26.0236	863891.88
	20	1.0995	56.1001	927734.09
	21	1.0801	37.1867	934786.38
	22	1.0109	19.4822	3808545.25
	23	0.9915	56.7400	579911.81
	24	0.9305	50.1274	1084054.09
	25	0.9250	45.8613	622211.38
	26	0.9167	18.9133	1886702.31
	27	0.8502	19.9799	1438222.44
	28	0.8170	18.9844	1535961.00
	29	0.6841	11.8031	752812.75
