		F2ppm	F1ppm	Intensity
	1	5.2275	94.8900	242251.84
	2	4.6734	98.1434	408130.06
	3	4.6533	98.1290	390956.09
	4	4.4545	106.1250	514859.53
	5	4.4356	106.0942	494345.19
	6	3.9704	63.3963	178820.50
	7	3.9402	63.4097	195176.16
	8	3.8700	63.2353	286173.59
	9	3.8205	63.5975	231481.66
	10	3.7958	64.0670	375783.22
	11	3.7710	64.2012	671047.19
	12	3.7346	64.1073	178676.84
	13	3.9289	72.0687	892155.72
	14	3.8308	74.5529	185473.75
	15	3.7310	78.2935	342900.75
	16	3.6792	75.4816	344348.47
	17	3.6531	77.3879	635791.38
	18	3.5642	74.5529	371445.28
	19	3.5452	74.5013	391359.63
	20	3.2842	76.9963	256932.72
