         F2ppm        F1ppm       Intensity       
     1   7.4903          139.9195     14113400.50
     2   7.4728          133.4436      9290989.50
     3   7.4315          131.4611      7469202.75
     4   7.3731          129.1261     72418184.75
     5   7.3322          128.1390      8886723.50
     6   7.1626          131.1321     54048652.00
     7   7.0094          128.4672     19609774.75
     8   6.9972          131.8005     13616243.00
     9   6.8686          123.1435     19476422.00
