		F2ppm	F1ppm	Intensity
	1	8.4580	142.3949	9655980.00
	2	8.1880	155.3328	7542370.00
	3	6.9389	141.1127	13254091.00
	4	6.1046	89.8090	9040623.00
	5	5.9811	126.3030	4219665.00
	6	4.7859	97.6777	6426207.00
	7	4.7786	108.0087	5330790.00
	8	4.6968	77.2261	8523197.00
	9	4.5082	72.9386	10665663.00
	10	4.3824	86.3115	11928798.00
	11	4.2645	67.7323	4170033.00
	12	4.2193	67.7833	5350664.00
	13	4.2232	73.2448	10417027.00
	14	4.1820	73.3469	7605093.00
	15	4.0857	85.0865	10236992.00
	16	4.0660	68.6511	9448574.00
	17	2.7866	24.5438	759198.00
	18	2.6833	24.5438	1010942.00
