       F2ppm           F1ppm       Intensity       
     1  5.1911           93.5013     21127792.25
     2  4.7072           97.6026      9125948.50
     3  3.8980           63.4033      2579860.25
     4  3.8630           56.7646      6166266.38
     5  3.8499           74.1892      8617779.75
     6  3.8394           63.0811      4435384.50
     7  3.7885           63.0811      8931959.75
     8  3.7572           73.3686     10120147.00
     9  3.7359           63.4035      4209952.63
    10  3.6633           59.4231      6517219.13
    11  3.5327           76.5994      4901439.13
    12  3.4872           72.7062      5563321.38
    13  3.4581           72.4796      9163245.13
    14  3.4548           78.6739     10067429.38
    15  2.0406           24.6694     56933057.13
