		F2ppm	F1ppm	Intensity
	1	5.7400	124.6556	18954155.56
	2	4.0368	68.9737	9268285.50
	3	2.6692	37.6392	3973102.50
	4	2.5589	63.1467	10251142.56
	5	2.4343	34.2174	2866023.44
	6	2.3845	33.6731	5963674.88
	7	2.3453	50.4707	5546901.19
	8	2.3311	34.2174	2548732.44
	9	2.2919	33.7508	3529626.44
	10	2.1887	22.9412	3518738.75
	11	2.1389	31.4178	28489553.00
	12	2.0215	37.5614	5378902.31
	13	1.8506	31.5733	4731461.81
	14	1.7332	23.0190	3910344.31
	15	1.7261	24.2633	5491986.13
	16	1.5410	34.9951	3332572.88
	17	1.5054	50.4707	6892975.50
	18	1.3204	18.4307	10522245.88
	19	1.2812	55.3700	3677266.00
	20	1.2563	24.2633	2047873.19
	21	1.1460	59.1806	9479778.25
	22	1.0961	31.5733	2343912.44
	23	0.7296	14.6202	7582280.69
	24	0.6798	14.6202	4629774.13
