		F2ppm	F1ppm	Intensity
	1	5.1831	94.9780	814640.41
	2	4.5752	99.4278	1101624.13
	3	4.5550	99.4355	1068711.75
	4	3.9372	67.9133	455593.94
	5	3.8939	67.8796	423893.22
	6	3.6871	63.6465	632861.69
	7	3.6655	63.6355	756003.38
	8	3.6782	72.1210	215733.34
	9	3.6534	75.5472	349230.59
	10	3.6286	75.6704	257257.47
	11	3.6229	72.1457	511018.09
	12	3.6047	72.0717	578459.28
	13	3.5837	72.1457	402253.56
	14	3.5239	74.2797	359113.16
	15	3.4976	74.2447	293206.38
	16	3.4207	78.6697	734222.38
	17	3.3061	67.8678	685789.88
	18	3.2144	76.9117	809554.34
