		F2ppm	F1ppm	  Intensity
	1	7.2744	133.2772	  14647504.00
	2	7.0093	117.7039	  10655256.00
	3	4.3074	68.2839	  6350216.00
	4	4.1400	72.3374	  6250676.00
	5	4.1032	72.2726	  5735875.00
	6	3.5710	43.4743	  18559763.00
	7	3.4989	53.7753	  4713839.00
	8	3.3189	49.5708	  2442405.00
	9	3.2482	49.5708	  2657080.00
	10	1.3574	20.8972	  13327183.00

