		F2ppm	F1ppm	Intensity
	1	5.7315	123.8314	4110393.94
	2	3.6525	81.6649	2141510.63
	3	2.4215	33.9348	1012465.97
	4	2.3828	32.7429	971607.03
	5	2.3382	33.8647	757296.09
	6	2.2787	32.7429	1199275.88
	7	2.0883	30.3590	938721.31
	8	2.0318	35.8278	865475.75
	9	1.8652	36.3186	993057.19
	10	1.8533	31.4808	1590354.88
	11	1.7046	35.6876	793431.25
	12	1.6332	23.2776	1240540.88
	13	1.6064	20.6133	1369602.56
	14	1.5737	35.6175	1164349.22
	15	1.4696	30.4291	1022461.81
	16	1.4339	20.6133	824597.09
	17	1.3059	23.4879	657668.13
	18	1.1989	17.5283	2103386.44
	19	1.0918	36.4589	1112459.50
	20	1.0114	31.4808	896484.16
	21	0.9728	50.4114	1267102.94
	22	0.9281	53.8469	1552695.34
	23	0.7913	11.1480	379465.91
