       F2ppm           F1ppm       Intensity
     1  8.2322          141.5970      2088438.00
     2  7.8214          154.8638       527642.00
     3  7.4580          118.9873      2327646.00
     4  7.4169          132.7922      2582465.00
     5  5.8096           89.9699      2628814.00
     6  4.5075           77.5170      2009523.00
     7  4.4702           72.7101      2327888.00
     8  4.3434           85.9890      2596579.00
     9  4.3186           71.8789      1331273.00
    10  4.2847           70.3835      1129829.00
    11  4.2788           67.7262      2478007.00
    12  4.0660           70.3829       889831.00
    13  4.0207           73.7033      1187532.00
    14  3.8975           75.3600      1591105.00
    15  2.3080           23.2479      5197102.00
    16  2.2199           21.2483      2104159.00
    17  4.3491           49.7981       323958.00
