		F2ppm	F1ppm	Intensity
	1	3.5881	71.4217	1749675.09
	2	1.9658	39.9811	1257642.47
	3	1.8150	28.2757	1133374.53
	4	1.7992	31.4020	1407614.53
	5	1.7069	37.0988	903272.31
	6	1.6529	32.0967	1131333.47
	7	1.5515	38.2104	1662906.31
	8	1.5470	24.1767	1319262.00
	9	1.5087	27.9978	1225450.69
	10	1.4817	21.3283	1793614.91
	11	1.3984	31.6104	1032734.72
	12	1.3398	35.9177	2929721.69
	13	1.3263	23.6904	1358874.09
	14	1.2790	21.2589	745835.81
	15	1.2768	38.2104	484661.38
	16	1.2565	28.7620	3751647.78
	17	1.2205	28.3451	980021.81
	18	1.1327	23.9683	924295.78
	19	1.1282	39.5303	1374921.25
	20	1.0966	44.7408	1304597.41
	21	1.0899	39.5998	1242143.81
	22	1.0651	56.1345	1217894.00
	22	1.0092	24.1536
	23	0.9773	36.4735	676851.53
	24	0.9705	56.4818	832087.41
	25	0.9030	18.6189	4386616.47
	26	0.8625	22.8567	8267049.06
	27	0.8647	32.1662	707814.19
	28	0.8422	12.2273	1747651.16
	29	0.7679	12.2273	1191082.69
	30	0.6778	12.0884	1145384.50
	31	0.6148	12.0189	928195.34
	32	0.6170	54.3282	1785415.09
