		F2ppm	F1ppm	Intensity
	1	7.9426	144.1872	2641042.00
	2	5.9754	91.0869	17725510.00
	3	5.9712	105.3653	9503706.00
	4	5.5937	98.2428	13771607.50
	5	4.3668	72.3486	17123468.00
	6	4.3668	76.5757	14805891.50
	7	4.2784	85.8970	14799779.00
	8	4.2374	67.5796	5815640.50
	9	4.1995	67.5796	7668533.00
	10	3.8869	75.4918	6752377.00
	11	3.8616	63.1357	3403444.50
	12	3.7827	63.1357	6281323.50
	13	3.7669	75.6544	9025153.50
	14	3.6469	60.2092	1221292.00
	15	3.5301	74.2996	8114780.50
	16	3.4638	71.9151	7941215.50
	17	1.1731	19.5750	602216.50
