		F2ppm	F1ppm	Intensity
	1	5.7293	123.9064	4747042.09
	2	2.4224	33.9562	1149425.53
	3	2.3910	33.0929	739793.53
	4	2.3408	34.0282	1501707.47
	5	2.2655	32.9490	1148687.94
	6	2.0395	39.6396	1480646.72
	7	2.0301	35.6109	1608314.97
	8	1.8576	28.2009	1158394.78
	9	1.8450	32.0858	1250258.88
	10	1.7038	35.6109	584851.75
	11	1.6097	24.2442	1269297.16
	12	1.5250	35.6109	1183369.38
	13	1.5155	27.9132	1305121.47
	14	1.5155	21.0788	1305788.03
	15	1.4371	20.9349	1081962.75
	16	1.3806	35.7548	1801832.56
	17	1.3398	23.6686	1214940.09
	18	1.3367	35.9706	1446765.91
	19	1.2677	28.1290	903253.03
	20	1.1861	17.4098	3243420.25
	21	1.1359	24.0283	1056703.03
	22	1.1296	39.4957	2179547.28
	23	1.0982	55.9702	1950102.91
	24	1.0198	32.0138	566475.44
	25	1.0104	55.9702	855047.53
	26	0.9947	36.0425	761648.22
	27	0.9288	53.8120	1383745.56
	28	0.9100	18.7047	4445283.41
	29	0.8692	22.8053	7299129.72
	30	0.7123	11.8703	839067.91
