		F2ppm	F1ppm	Intensity
	1	5.3849	120.8779	5622803.34
	2	3.5367	71.6750	1559705.97
	3	2.4597	35.8099	454573.97
	4	2.3255	42.2621	1406291.72
	5	2.2584	42.1331	1302170.09
	6	2.1243	30.7771	1036589.03
	7	2.0823	35.8099	528330.16
	8	1.9593	21.8731	1066920.09
	9	1.8615	31.6159	3311725.75
	10	1.8671	37.1003	896374.31
	11	1.6826	20.3245	1241332.28
	12	1.6659	31.0352	1596780.22
	13	1.5485	21.8731	931082.91
	14	1.5093	31.4869	828264.53
	15	1.4898	20.2600	475289.88
	16	1.2885	51.5533	969777.63
	17	1.2829	31.3578	1757212.47
	18	1.0985	37.1003	1633496.78
	19	1.0398	19.5503	7146125.22
	20	1.0062	50.1983	1555274.84
	21	0.9224	13.4206	1196646.38
	22	0.8497	13.4852	1207622.91
