       F2ppm           F1ppm     Intensity 
     1  5.1145           95.6126     31560391.75
     2  5.0177           95.6126     27608582.00
     3  4.4399           56.7775     21337434.75
     4  4.3111           55.7805     24319798.75
     5  4.0416           71.5329     11610766.75
     6  3.8536           63.0813      4364772.25
     7  3.8356           74.6945     21171326.00
     8  3.6188           69.3883     14067804.75
     9  3.5166           69.0557      9145244.75
    10  3.4083           79.0110      9248318.00
    11  2.0643           24.5670      1981725.00
