		F2ppm	F1ppm	Intensity
	1	5.7374	123.8968	7355975.19
	2	2.6925	33.4944	1562816.75
	3	2.4036	32.8660	1942627.81
	4	2.3970	33.9971	1574261.19
	5	2.3412	33.8714	1027208.94
	6	2.2919	32.8660	1138481.31
	7	2.2821	27.8387	11294629.06
	8	2.0260	35.6310	1271338.31
	9	1.8716	31.9233	1513396.88
	10	1.8486	23.8797	1408346.19
	11	1.7304	29.9753	1307342.00
	12	1.7239	35.6938	954302.94
	13	1.7403	49.9588	1180733.94
	14	1.6483	20.3606	1619467.31
	15	1.6057	33.4944	1145873.88
	16	1.5958	35.4424	1559382.69
	17	1.4283	29.8496	1351094.50
	18	1.4119	20.4862	547839.81
	19	1.3692	23.8168	1404671.81
	20	1.1886	17.5327	2992101.06
	21	1.1033	31.9233	1734649.81
	22	0.9851	53.2265	2038067.25
	23	0.7716	15.3333	953970.69
