    F2ppm	F1ppm	Intensity
1    7.7408	119.5923	4790416.00
2    7.5333	132.8165	7759069.00
3    4.6484	50.1246	855567.00
4    4.3767	72.0845	3984091.00
5    4.0676	68.1458	3709602.00
6    4.0250	74.2967	3918829.00
7    4.0170	75.2139	3713134.00
8    2.4858	23.4365	9421178.00
9    2.3441	21.2614	6848942.00
