            F2ppm           F1ppm       Intensity 
     1        7.7542          129.1400      3334779.50
     2        7.0358          133.1236      9218845.50
     3        6.2990          128.8105       716147.25
     4        6.2794          130.1350      7793445.00
     5        6.1806          137.4363      1109094.75
     6        5.6715          115.5240     21995474.50
     7        2.1112           21.2472     41457150.75
     8        2.0347           33.2009     20213318.50
     9        2.0083           12.9470      4893966.50
    10        1.7243           21.9022     34355853.50
    11        1.6249           19.2556     12125367.00
    12        1.4767           39.6981     14867473.25
    13        1.0374           28.8875     81889732.75
