accession,name,kingdom,super_class,class,sub_class
HMDB0000907,Sulfolithocholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
HMDB0000908,5alpha-Cholestanol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB0000910,Tridecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000913,Vanillactic acid,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,
HMDB0000920,11a-Hydroxyprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Pregnane steroids
HMDB0000921,Cholestenone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Cholestane steroids
HMDB0000925,Trimethylamine N-oxide,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Aminoxides
HMDB0000926,Pyridine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,
HMDB0000927,Valerylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000929,L-Tryptophan,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB0000930,trans-Cinnamic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids
HMDB0000933,Traumatic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000937,Stigmasterol,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Stigmastanes and derivatives
HMDB0000939,S-Adenosylhomocysteine,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
HMDB0000943,Threonic acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000944,Behenic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000946,Ursodeoxycholic acid,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives"
HMDB0000947,Undecanoic acid,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB0000953,Suberylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000954,Ferulic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
HMDB0000955,Isoferulic acid,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
HMDB0000956,Tartaric acid,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000957,Pyrocatechol,Organic compounds,Benzenoids,Phenols,Benzenediols
HMDB0000958,trans-Aconitic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB0000959,Tiglylglycine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000962,Lipoamide,Organic compounds,Organoheterocyclic compounds,Dithiolanes,Lipoamides
HMDB0000965,Hypotaurine,Organic compounds,Organic acids and derivatives,Sulfinic acids and derivatives,Sulfinic acids
HMDB0000975,Trehalose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0000982,5-Methylcytidine,Organic compounds,"Nucleosides, nucleotides, and analogues",Pyrimidine nucleosides,
HMDB0000991,DL-2-Aminooctanoic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0000995,16-Dehydroprogesterone,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Oxosteroids
HMDB0001003,Adenosine phosphosulfate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine ribonucleotides
HMDB0001020,"N,N-Dimethylaniline",Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001044,2'-Deoxyguanosine 5'-monophosphate,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleotides,Purine deoxyribonucleotides
HMDB0001046,Cotinine,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyrrolidinylpyridines
HMDB0001049,gamma-Glutamylcysteine,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001051,Glyceraldehyde,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001065,2-Hydroxyphenethylamine,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines
HMDB0001067,N-Acetylaspartylglutamic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001069,2-Phenylaminoadenosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0001078,Mannose 6-phosphate,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001101,p-Anisic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001107,7-Methylguanosine,Organic compounds,"Nucleosides, nucleotides, and analogues",Purine nucleosides,
HMDB0001120,Dimethylallylpyrophosphate,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Isoprenoid phosphates
HMDB0001123,2-Aminobenzoic acid,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
HMDB0001129,N-Acetylmannosamine,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
HMDB0001140,Octanal,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
HMDB0001149,5-Aminolevulinic acid,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
HMDB0001151,Allose,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
